class,class_id,category_1,category_1_id,category_2,category_2_id,category_3,category_3_id,category_4,category_4_id
1,Comptes de capitaux,10,Capital et réserves,,,,,,
1,Comptes de capitaux,10,Capital et réserves,101,Capital,,,,
1,Comptes de capitaux,10,Capital et réserves,101,Capital,1011,Capital souscrit - non appelé,,
1,Comptes de capitaux,10,Capital et réserves,101,Capital,1012,Capital souscrit - appelé; non versé,,
1,Comptes de capitaux,10,Capital et réserves,101,Capital,1013,Capital souscrit - appelé; versé,,
1,Comptes de capitaux,10,Capital et réserves,101,Capital,1013,Capital souscrit - appelé; versé,10131,Capital non amorti
1,Comptes de capitaux,10,Capital et réserves,101,Capital,1013,Capital souscrit - appelé; versé,10132,Capital amorti
1,Comptes de capitaux,10,Capital et réserves,101,Capital,1018,Capital souscrit soumis à des réglementations particulières,,
1,Comptes de capitaux,10,Capital et réserves,102,Fonds fiduciaires,,,,
1,Comptes de capitaux,10,Capital et réserves,104,Primes liées au capital,,,,
1,Comptes de capitaux,10,Capital et réserves,104,Primes liées au capital,1041,Primes d'émission,,
1,Comptes de capitaux,10,Capital et réserves,104,Primes liées au capital,1042,Primes de fusion,,
1,Comptes de capitaux,10,Capital et réserves,104,Primes liées au capital,1043,Primes d'apport,,
1,Comptes de capitaux,10,Capital et réserves,104,Primes liées au capital,1044,Primes de conversion d'obligations en actions,,
1,Comptes de capitaux,10,Capital et réserves,104,Primes liées au capital,1045,Bons de souscription d'actions,,
1,Comptes de capitaux,10,Capital et réserves,105,Ecarts de réévaluation,,,,
1,Comptes de capitaux,10,Capital et réserves,106,Réserves,,,,
1,Comptes de capitaux,10,Capital et réserves,106,Réserves,1061,Réserve légale,,
1,Comptes de capitaux,10,Capital et réserves,106,Réserves,1062,Réserves indisponibles,,
1,Comptes de capitaux,10,Capital et réserves,106,Réserves,1063,Réserves statutaires ou contractuelles,,
1,Comptes de capitaux,10,Capital et réserves,106,Réserves,1064,Réserves réglementées,,
1,Comptes de capitaux,10,Capital et réserves,106,Réserves,1068,Autres réserves,,
1,Comptes de capitaux,10,Capital et réserves,107,Ecart d'équivalence,,,,
1,Comptes de capitaux,10,Capital et réserves,108,Compte de l'exploitant,,,,
1,Comptes de capitaux,10,Capital et réserves,109,Actionnaires : Capital souscrit - non appelé,,,,
1,Comptes de capitaux,11,Report à nouveau,,,,,,
1,Comptes de capitaux,11,Report à nouveau,110,Report à nouveau - solde créditeur,,,,
1,Comptes de capitaux,11,Report à nouveau,119,Report à nouveau - solde débiteur,,,,
1,Comptes de capitaux,12,Résultat de l'exercice,,,,,,
1,Comptes de capitaux,12,Résultat de l'exercice,120,Résultat de l'exercice - bénéfice,,,,
1,Comptes de capitaux,12,Résultat de l'exercice,120,Résultat de l'exercice - bénéfice,1209,acomptes sur dividendes,,
1,Comptes de capitaux,12,Résultat de l'exercice,129,Résultat de l'exercice - perte,,,,
1,Comptes de capitaux,13,Subventions d'investissement,,,,,,
1,Comptes de capitaux,13,Subventions d'investissement,131,Subventions d'équipement octroyées,,,,
1,Comptes de capitaux,13,Subventions d'investissement,139,Subventions d'investissement inscrites au compte de résultat,,,,
1,Comptes de capitaux,14,Provisions réglementées,,,,,,
